case_id,country,age,sex,agreeable_score,extraversion_score,openness_score,conscientiousness_score,neuroticism_score
1,South Afri,24,1,0.753333333,0.496666667,0.803333333,0.886666667,0.426666667
3,UK,24,2,0.733333333,0.68,0.786666667,0.746666667,0.59
4,USA,36,2,0.88,0.77,0.86,0.896666667,0.296666667
5,UK,19,1,0.69,0.616666667,0.716666667,0.636666667,0.563333333
6,UK,17,1,0.6,0.713333333,0.646666667,0.633333333,0.513333333
7,USA,17,1,0.603333333,0.586666667,0.653333333,0.596666667,0.623333333
8,USA,28,2,0.81,0.68,0.87,0.76,0.51
9,Denmark,28,2,0.796666667,0.596666667,0.87,0.646666667,0.456666667
10,USA,18,1,0.61,0.706666667,0.886666667,0.59,0.656666667
11,Singapore,17,1,0.84,0.483333333,0.543333333,0.723333333,0.65
12,Sweden,17,2,0.66,0.726666667,0.74,0.68,0.58
13,India,21,1,0.823333333,0.866666667,0.813333333,0.976666667,0.27
